Column1,Column2,Column3,Column4
song_id,song_name,artist_name,song_URL
1X6eoNPEJmqwgTVFaU4fDS,"Chung ta cua sau nay cai gi cung deu co, chi la..",Mai,https://open.spotify.com/track/1X6eoNPEJmqwgTVFaU4fDS
6jcLKVmEKAQIXIVHJZ8vzS,tình yêu ch?m tr?,"MONSTAR, GREY D, NICKY, V??NG BÌNH",https://open.spotify.com/track/6jcLKVmEKAQIXIVHJZ8vzS
7h2zqUH4bYyknNUxsYnS5V,Nh? Anh ?ã Th?y Em,"PhucXp, Freak D",https://open.spotify.com/track/7h2zqUH4bYyknNUxsYnS5V
76KYaCx7UjHwlnrqzcovLZ,10 Ngàn N?m,PC,https://open.spotify.com/track/76KYaCx7UjHwlnrqzcovLZ
3BwFxsC7QpRejdE9GXFQI4,Ch? Còn Ta Và Ta Gi?a Tr?i,"D Blue, Killic",https://open.spotify.com/track/3BwFxsC7QpRejdE9GXFQI4
0dbgfPzgqkOj3dCUZewBzD,Anh Bi?t,"Xám, D Blue",https://open.spotify.com/track/0dbgfPzgqkOj3dCUZewBzD
0rIrFq7cRTG1q8ga01cNmx,"""T?i""","GoAllDay, Dkayz, Brian",https://open.spotify.com/track/0rIrFq7cRTG1q8ga01cNmx
7wj9sGlHGTMQ28liyi48hz,n?u lúc ?ó,"tlinh, 2pillz",https://open.spotify.com/track/7wj9sGlHGTMQ28liyi48hz
5d4FCmkXLqadL3zBjwsTTn,R?i Anh S? Ch?ng Còn Nh? V? Em,#SS,https://open.spotify.com/track/5d4FCmkXLqadL3zBjwsTTn
42ajbrD1sow2nEGPGxPPRl,Phai,"Rocky CDE, Chie",https://open.spotify.com/track/42ajbrD1sow2nEGPGxPPRl
4npevI1mOdm4ZQBkfBjHj4,Ng? s?m ?i em,DucMinh,https://open.spotify.com/track/4npevI1mOdm4ZQBkfBjHj4
5IO873C4IP8pXdsXcJiBes,Chúng Ta Sau Này,T.R.I,https://open.spotify.com/track/5IO873C4IP8pXdsXcJiBes
1UeVJLJUHT58veYBDHDSgI,Anh S? ?? Em ?i,Kidz,https://open.spotify.com/track/1UeVJLJUHT58veYBDHDSgI
73fFaii6dzwNgWei8cZNJg,Ly Do Nao De Quay Lai Voi Nhau,Koon,https://open.spotify.com/track/73fFaii6dzwNgWei8cZNJg
33XgNRhkx2W9aZOqJu7nIp,em nh? bông hoa,Hawys,https://open.spotify.com/track/33XgNRhkx2W9aZOqJu7nIp
0h9XgolSQzMJJH1xrQsoPU,ai r?i c?ng b? anh ?i,VoVanDuc,https://open.spotify.com/track/0h9XgolSQzMJJH1xrQsoPU
3a2Oftcs10wtzw6AmxuTMU,R?i Ta S? Ng?m Pháo Hoa Cùng Nhau,Olew,https://open.spotify.com/track/3a2Oftcs10wtzw6AmxuTMU
0yeJ2cTqUgoH7iZqeAFyYX,Mua thu khong con em,FiGDee,https://open.spotify.com/track/0yeJ2cTqUgoH7iZqeAFyYX
2qU7v0idyT8aTp8FVxl23c,?ó Ch? Là Thành Ph? C?a Anh,"Luxuyen, New$oulz",https://open.spotify.com/track/2qU7v0idyT8aTp8FVxl23c
3Z9WzjnysaeG3Z2B1JMkJY,Ch?ng Ai Hi?u V? Tình Yêu,V? Duy Khánh,https://open.spotify.com/track/3Z9WzjnysaeG3Z2B1JMkJY
1o6cYDMHvKOfizi4d9Lqxr,id 072019,W/N,https://open.spotify.com/track/1o6cYDMHvKOfizi4d9Lqxr
26jxaMvHqNm1sPgVbii90T,Ngayemdibautroidantatnang,#SS,https://open.spotify.com/track/26jxaMvHqNm1sPgVbii90T
1EEDESYt5tJRbUI4wc7qNz,anh mong em hieu duoc,FiGDee,https://open.spotify.com/track/1EEDESYt5tJRbUI4wc7qNz
4419xcAfLyZXybEdwCfdIQ,Không ph?i l?i t? tình,1nG,https://open.spotify.com/track/4419xcAfLyZXybEdwCfdIQ
0P5bP2bD6pAoqGU6u6TPhB,anh khong biet do la lan cuoi minh ben nhau....,#SSdaRealest,https://open.spotify.com/track/0P5bP2bD6pAoqGU6u6TPhB
51qM6DVbqylA3dIkbxDD1M,Bi?t Em,Lynk Nguyen,https://open.spotify.com/track/51qM6DVbqylA3dIkbxDD1M
5uyNAX6MazVAjBjVeOsTvp,3 1 0 7 (feat. Duongg & Nâu),"W/N, Duongg, Nâu",https://open.spotify.com/track/5uyNAX6MazVAjBjVeOsTvp
37vIqMH3XV6ZbObcKE9GXC,Cô ??n,"Hngle, Niz, Ari",https://open.spotify.com/track/37vIqMH3XV6ZbObcKE9GXC
7dHRJDisbFPxrd0YjOKT79,Bông Hoa ??p Nh?t (Lofi Ver.),Orinn,https://open.spotify.com/track/7dHRJDisbFPxrd0YjOKT79
